study_hours,attendance,internal_marks,practice_hours,performance
3.63,76.13,33,0.86,Poor
6.83,86.17,87,4.44,Good
2.66,69.27,14,1.3,Poor
3.75,88.52,61,1.63,Average
3.91,91.63,70,3.87,Good
1.49,64.94,45,0.77,Poor
1.11,56.1,47,0.42,Poor
2.52,86.3,73,2.28,Average
4.69,93.62,88,5.85,Good
6.5,92.27,94,4.05,Good
3.51,68.78,62,2.38,Average
3.28,80.57,61,2.75,Average
6.0,78.36,56,1.4,Average
2.69,83.06,60,2.8,Average
2.08,60.38,56,0.71,Poor
2.83,73.9,65,1.97,Average
2.08,61.09,21,0.85,Poor
4.11,85.74,71,3.01,Average
4.68,82.26,92,4.11,Good
2.95,82.5,50,2.1,Average
3.25,86.13,73,3.75,Average
4.06,90.4,81,4.81,Good
1.24,74.76,61,0.89,Average
1.88,59.76,57,0.6,Poor
5.26,90.79,72,4.0,Good
5.81,88.1,80,4.69,Good
4.61,91.57,78,3.46,Good
2.53,43.75,59,0.0,Poor
0.84,70.83,50,0.0,Poor
1.7,71.54,29,0.0,Poor
5.55,91.39,76,2.88,Good
3.62,89.55,82,3.09,Good
1.47,61.52,42,1.12,Poor
1.98,64.56,31,1.32,Poor
1.18,70.77,29,0.41,Poor
3.68,84.98,79,3.66,Good
4.56,89.87,86,4.12,Good
5.59,99.33,86,4.5,Good
1.76,51.18,31,1.34,Poor
2.88,81.86,64,3.04,Average
2.29,85.52,72,2.81,Average
0.25,48.82,48,0.73,Poor
5.76,88.04,79,4.46,Good
2.52,62.15,87,2.96,Average
3.26,84.67,70,3.55,Average
2.95,77.48,60,0.7,Average
1.49,65.09,35,0.9,Poor
3.82,95.24,83,4.01,Good
2.7,61.72,42,0.09,Poor
5.72,90.19,91,2.93,Good
5.17,86.0,76,4.7,Good
1.14,60.74,53,1.87,Poor
4.12,88.52,80,2.5,Good
3.77,79.83,67,4.67,Average
3.67,89.92,72,2.83,Good
1.43,71.04,45,2.12,Poor
3.95,88.77,69,3.02,Average
5.23,93.28,84,4.05,Good
6.29,100.0,82,4.8,Good
5.04,90.27,84,4.63,Good
2.82,87.64,51,4.43,Average
3.3,75.95,54,4.37,Average
2.25,61.05,40,1.23,Poor
4.07,83.85,72,3.9,Good
0.97,68.19,69,2.93,Average
1.83,69.42,43,0.47,Poor
3.13,81.73,86,4.44,Good
0.3,82.75,64,1.07,Poor
6.53,87.89,81,2.93,Good
1.4,86.0,61,0.46,Poor
6.04,84.36,88,3.44,Good
5.3,92.79,76,3.45,Good
1.77,73.65,16,0.06,Poor
2.46,41.18,39,1.49,Poor
2.33,71.31,45,0.3,Poor
3.31,79.46,70,2.76,Average
1.46,80.55,70,0.4,Poor
4.05,87.44,69,3.25,Average
1.94,67.67,43,0.0,Poor
1.45,58.34,40,1.74,Poor
6.48,92.83,85,3.03,Good
1.15,60.9,42,2.06,Poor
2.09,89.2,72,0.5,Average
2.27,77.3,44,1.52,Poor
5.22,89.27,84,3.64,Good
2.22,59.68,48,1.57,Poor
3.76,65.35,61,2.41,Average
1.69,55.48,49,0.06,Poor
1.04,58.47,43,0.82,Poor
2.55,84.18,76,3.47,Average
2.42,83.23,83,4.03,Average
4.47,93.29,92,3.79,Good
5.56,90.32,79,3.54,Good
4.42,85.4,59,2.19,Average
1.48,65.58,67,1.51,Poor
2.97,80.09,52,2.86,Average
3.87,67.61,64,3.07,Average
4.17,99.34,76,3.74,Good
4.0,93.13,76,1.14,Good
1.05,76.79,74,2.42,Average
1.53,62.78,45,0.32,Poor
2.15,48.89,59,0.71,Poor
2.39,73.56,72,1.57,Average
5.77,94.48,71,4.39,Good
3.71,72.76,66,1.84,Average
5.86,82.76,76,3.59,Good
3.73,84.14,61,3.59,Good
3.12,85.49,42,1.46,Average
3.76,92.39,91,2.61,Good
4.55,82.25,95,5.55,Good
2.82,78.81,58,0.99,Average
1.29,60.71,46,0.0,Poor
4.29,86.88,79,5.6,Good
1.52,83.97,40,0.79,Poor
3.6,82.76,76,2.33,Average
2.17,87.39,48,4.72,Average
1.63,66.87,51,0.87,Poor
4.22,67.92,65,2.75,Average
1.31,71.12,16,1.35,Poor
2.79,91.22,59,2.21,Average
2.18,92.51,72,2.87,Average
2.25,67.57,48,1.67,Average
1.68,50.8,43,0.0,Poor
1.58,71.65,10,0.0,Poor
5.48,95.9,84,2.33,Good
5.05,86.77,81,3.76,Good
2.92,84.85,62,0.84,Average
0.93,80.05,30,1.86,Poor
2.57,93.93,67,1.81,Average
3.53,70.22,61,1.37,Average
6.16,83.95,69,4.93,Good
2.95,71.79,71,0.65,Average
1.11,68.18,35,1.75,Poor
0.51,52.94,45,0.55,Poor
0.98,71.4,49,2.07,Poor
5.32,93.34,88,3.64,Good
2.64,85.7,50,1.95,Average
2.5,73.12,25,1.12,Poor
4.36,100.0,89,3.39,Good
1.96,58.0,39,1.8,Poor
3.35,83.21,54,2.99,Average
0.94,75.69,41,0.8,Poor
3.11,85.96,72,3.33,Good
1.37,69.51,70,1.22,Poor
0.89,45.07,44,0.76,Poor
2.01,59.12,30,2.17,Poor
1.68,61.64,55,0.89,Poor
2.47,81.53,62,2.89,Average
5.18,96.12,83,4.31,Good
3.29,85.33,78,6.62,Good
3.49,78.25,68,2.77,Average
3.33,81.09,70,4.17,Average
1.98,64.43,42,0.94,Poor
1.28,64.96,54,0.0,Poor
4.34,89.44,90,4.83,Good
2.2,72.89,57,0.91,Poor
3.29,62.39,67,1.95,Average
0.67,73.24,35,2.22,Poor
2.64,71.6,56,2.93,Average
4.28,89.65,79,2.89,Good
1.08,81.16,40,1.95,Poor
1.22,68.39,40,0.87,Poor
4.49,86.09,80,3.37,Good
2.06,79.76,56,0.94,Poor
2.37,79.22,59,2.11,Average
3.68,94.38,95,3.73,Good
3.81,65.23,76,3.92,Average
1.12,74.31,64,0.13,Poor
3.61,79.02,85,1.69,Average
4.27,82.3,70,3.14,Good
1.99,79.88,71,3.24,Average
0.82,77.27,65,1.24,Poor
1.51,80.96,42,1.23,Poor
3.21,61.62,63,1.37,Poor
2.57,74.84,68,2.75,Average
6.15,90.98,82,2.95,Good
0.82,64.19,49,0.0,Poor
4.34,75.25,53,3.72,Average
3.98,72.68,67,2.51,Average
2.37,44.0,41,1.81,Poor
1.83,76.61,48,2.26,Average
1.49,76.05,36,0.84,Poor
3.01,82.52,78,2.14,Average
3.42,83.01,71,2.35,Average
1.5,75.25,51,1.86,Poor
3.99,87.17,64,0.63,Average
1.08,66.45,64,1.14,Poor
3.13,78.9,53,1.98,Average
1.94,72.96,60,2.0,Poor
2.23,75.69,35,1.45,Poor
3.48,83.2,67,1.92,Average
6.14,95.37,81,4.75,Good
3.93,69.84,50,1.36,Average
6.53,93.96,75,3.5,Good
5.01,92.46,96,4.37,Good
2.55,65.19,49,0.41,Poor
4.07,81.46,62,1.94,Average
2.82,78.44,69,1.6,Average
1.7,69.3,35,1.57,Poor
3.05,83.5,58,1.99,Average
2.24,78.02,65,3.12,Average
2.73,77.37,88,3.13,Average
1.02,64.86,48,1.71,Poor
2.59,74.24,47,4.08,Average
2.75,64.01,51,1.15,Poor
1.18,58.21,49,0.8,Poor
5.27,97.93,83,5.78,Good
2.81,87.05,57,2.81,Average
0.96,50.97,57,1.65,Poor
1.7,52.16,36,1.81,Poor
2.91,75.71,62,0.98,Average
0.83,64.28,61,0.08,Poor
3.81,93.05,60,2.17,Average
6.16,88.9,85,3.48,Good
3.53,82.38,87,4.27,Good
1.15,53.79,41,1.09,Poor
3.35,70.82,70,1.86,Average
1.72,88.2,70,1.52,Average
3.55,64.77,65,3.57,Average
1.94,55.56,31,0.86,Poor
5.81,90.68,77,2.98,Good
2.45,78.82,66,2.95,Average
1.91,75.88,47,2.57,Average
1.86,83.08,70,1.02,Average
3.51,56.81,57,2.33,Poor
3.17,85.72,67,2.42,Average
1.9,62.18,50,0.5,Poor
2.33,76.31,57,1.39,Poor
1.15,43.64,47,1.48,Poor
4.06,93.54,58,4.83,Average
6.3,89.37,90,4.42,Good
4.11,79.42,88,5.3,Good
1.69,65.48,19,1.04,Poor
6.38,84.37,79,5.25,Good
7.06,83.74,88,4.04,Good
5.78,85.93,90,3.48,Good
0.16,55.76,35,1.97,Poor
0.57,64.54,46,0.93,Poor
2.79,76.28,81,1.66,Average
5.59,88.24,86,4.24,Good
3.88,88.44,73,4.05,Good
3.94,74.85,64,2.28,Average
3.09,86.18,67,3.89,Average
6.07,86.11,79,4.46,Good
3.97,83.73,84,3.37,Good
5.37,91.89,82,3.6,Good
1.61,58.78,44,0.14,Poor
1.75,63.15,67,2.03,Poor
0.84,79.05,65,2.06,Average
3.61,75.55,48,2.04,Average
2.46,76.88,55,2.27,Average
2.19,75.03,62,2.85,Average
2.09,49.56,35,0.69,Poor
5.47,90.58,74,3.78,Good
1.7,90.73,78,4.67,Good
3.62,68.32,75,1.56,Average
3.13,90.94,60,3.42,Average
2.93,83.42,67,2.11,Average
5.41,98.9,83,4.8,Good
7.62,90.81,68,3.57,Good
2.91,88.17,80,2.85,Good
4.95,89.47,86,4.36,Good
1.37,69.11,55,1.07,Poor
2.56,65.62,52,0.89,Poor
1.89,66.55,16,0.34,Poor
3.1,68.73,70,2.71,Average
3.05,90.49,82,4.73,Good
2.15,90.5,57,2.08,Average
0.23,74.67,45,0.36,Poor
4.11,93.08,73,3.87,Good
3.07,89.78,75,3.29,Good
0.23,50.9,46,0.0,Poor
4.77,81.24,56,1.16,Average
5.16,80.29,92,3.52,Good
1.59,54.09,61,1.36,Poor
1.33,81.61,24,1.5,Poor
1.66,70.45,54,1.17,Poor
5.79,87.82,72,5.64,Good
3.17,78.52,58,0.5,Average
1.26,45.75,50,1.43,Poor
1.08,63.2,61,0.91,Poor
3.16,83.71,58,2.73,Average
5.41,90.01,89,4.22,Good
2.91,76.95,54,0.68,Average
0.99,75.67,37,1.14,Poor
1.46,85.83,54,0.98,Poor
2.09,80.58,32,0.95,Poor
0.75,60.44,70,0.24,Poor
4.07,96.52,75,5.01,Good
1.4,63.74,40,1.92,Poor
2.5,46.84,27,0.8,Poor
4.39,86.07,89,3.2,Good
1.38,70.79,74,3.26,Average
5.27,81.82,84,5.21,Good
2.33,76.23,71,2.63,Average
0.28,66.03,35,0.68,Poor
1.78,79.49,54,4.52,Average
1.68,73.7,67,1.92,Average
4.1,90.32,77,4.89,Good
3.67,94.33,66,3.9,Good
1.46,83.56,62,4.23,Average
2.36,88.96,64,2.21,Average
3.02,77.44,65,3.43,Average
1.95,67.04,57,0.61,Poor
4.76,88.03,83,4.61,Good
4.06,100.0,81,5.29,Good
1.58,63.98,50,3.05,Average
3.7,78.84,45,0.67,Average
3.3,74.05,65,5.0,Average
5.41,100.0,83,2.89,Good
2.77,78.5,61,4.12,Average
6.3,89.64,84,3.47,Good
1.35,74.07,45,0.73,Poor
7.6,90.93,69,4.52,Good
0.95,42.99,57,0.74,Poor
5.34,96.84,83,4.02,Good
5.65,89.55,86,4.41,Good
4.4,85.98,86,4.69,Good
1.11,55.76,64,1.14,Poor
4.46,94.44,70,4.5,Good
6.28,92.32,89,3.75,Good
2.22,62.75,57,0.0,Poor
1.41,73.76,56,0.4,Poor
4.72,85.96,83,3.82,Good
0.75,60.99,33,2.04,Poor
0.89,88.57,36,1.99,Poor
1.15,54.19,31,0.82,Poor
2.11,60.08,45,2.75,Poor
5.07,91.4,84,5.56,Good
5.16,78.41,63,2.9,Average
6.22,89.2,73,4.09,Good
4.73,88.07,86,5.36,Good
6.5,86.07,66,5.42,Good
2.76,73.97,59,3.83,Average
1.15,54.09,68,1.49,Poor
5.57,90.61,73,3.22,Good
3.8,70.43,65,2.77,Average
1.48,62.95,42,2.03,Poor
1.02,69.74,66,1.06,Poor
3.21,80.09,48,3.39,Average
4.44,74.62,65,2.66,Average
5.46,88.67,90,4.74,Good
4.35,91.42,86,2.92,Good
5.51,94.1,82,5.62,Good
4.08,92.21,39,1.46,Average
4.57,91.16,88,4.19,Good
1.22,66.82,26,0.82,Poor
2.7,81.72,58,2.4,Average
5.47,91.24,88,4.14,Good
4.9,87.29,86,3.13,Good
5.97,95.87,78,3.39,Good
4.97,85.76,73,4.23,Good
1.39,56.37,40,1.67,Poor
0.85,77.22,34,1.78,Poor
0.95,78.81,50,0.81,Poor
7.04,81.94,75,4.09,Good
2.74,74.86,60,1.98,Average
1.13,58.0,49,1.31,Poor
4.72,84.65,91,3.61,Good
4.47,95.17,70,4.88,Good
2.55,90.0,25,0.0,Poor
1.66,76.68,47,3.13,Average
3.12,78.94,78,1.45,Average
1.54,53.95,35,0.54,Poor
0.87,65.39,59,2.0,Poor
5.35,92.29,84,4.0,Good
6.08,96.56,84,2.99,Good
3.65,80.69,64,2.65,Average
2.09,65.4,57,0.63,Poor
6.07,83.38,92,4.72,Good
5.17,100.0,84,2.84,Good
2.94,84.31,57,1.09,Average
5.34,88.58,77,2.08,Good
2.13,53.76,35,0.96,Poor
0.86,66.99,36,0.91,Poor
4.4,88.01,84,3.27,Average
3.15,79.5,67,1.28,Average
4.25,83.19,68,3.1,Average
2.84,82.99,63,2.62,Average
1.84,80.69,59,3.54,Average
2.64,63.79,44,0.23,Poor
1.77,69.2,34,0.94,Poor
2.38,78.55,67,2.35,Average
5.34,81.2,77,4.1,Good
2.97,80.99,36,3.31,Average
2.25,75.43,46,2.65,Average
1.34,72.06,50,2.93,Average
3.92,100.0,80,2.97,Good
1.79,64.99,50,0.85,Poor
6.02,83.45,89,4.18,Good
1.0,90.11,41,0.71,Average
3.74,88.01,86,4.82,Good
1.75,73.0,43,0.36,Poor
3.92,88.97,71,4.98,Good
1.74,71.03,57,0.9,Poor
4.01,81.51,69,1.86,Average
1.42,55.09,42,0.18,Poor
1.95,61.99,56,0.97,Poor
5.06,92.22,82,4.5,Good
4.68,86.04,87,2.67,Good
1.27,56.83,39,0.95,Poor
2.6,81.67,39,2.38,Poor
3.39,81.91,57,2.34,Average
0.1,74.55,44,0.44,Poor
3.28,78.48,76,3.87,Average
0.86,68.3,26,1.57,Poor
1.75,70.35,44,0.0,Poor
3.17,83.49,62,2.85,Average
1.44,63.85,58,2.72,Poor
1.15,66.54,31,1.28,Poor
5.8,95.2,78,3.28,Good
5.45,93.77,63,4.01,Good
1.62,57.52,57,1.17,Poor
5.14,90.1,78,4.02,Good
2.45,78.74,55,0.78,Average
0.65,58.37,46,1.43,Poor
0.77,71.17,47,1.05,Poor
3.79,69.38,63,2.94,Average
1.41,54.23,50,0.71,Poor
1.77,57.97,41,0.34,Poor
1.26,76.26,74,1.62,Average
1.0,62.73,49,1.14,Poor
0.24,49.9,42,1.88,Poor
3.87,96.62,68,3.06,Good
1.66,75.01,38,0.0,Poor
1.84,71.58,59,2.55,Poor
5.03,89.66,67,3.54,Good
0.92,84.18,61,1.71,Average
2.8,75.84,76,2.44,Average
4.95,88.62,89,4.81,Good
5.22,99.99,100,4.5,Good
3.13,67.17,74,2.78,Average
0.74,69.29,30,0.4,Poor
1.23,61.11,39,1.22,Poor
2.12,77.95,58,1.72,Average
2.14,76.74,55,0.49,Poor
0.69,69.09,34,0.96,Poor
1.48,74.88,43,1.23,Poor
1.03,75.46,29,0.88,Poor
1.41,67.89,58,0.75,Average
3.03,60.23,40,1.12,Poor
3.59,77.84,58,2.32,Average
4.57,91.48,91,3.69,Good
0.64,56.14,28,1.08,Poor
5.52,85.07,59,5.03,Good
4.65,85.75,79,2.67,Good
2.59,88.3,51,2.28,Average
3.69,71.1,48,3.93,Average
4.31,84.54,58,2.54,Average
1.4,92.0,39,3.68,Average
5.43,90.09,75,4.82,Good
5.8,78.01,68,4.68,Good
3.21,88.91,52,4.62,Average
3.25,78.41,68,1.39,Average
0.22,54.95,36,1.39,Poor
3.74,73.59,49,3.97,Average
1.92,65.6,47,1.35,Poor
2.47,81.22,76,3.43,Average
4.47,86.84,84,4.75,Good
4.23,89.5,79,4.3,Good
5.48,89.16,71,3.35,Good
3.68,83.71,64,4.59,Good
1.27,37.77,44,0.0,Poor
0.78,54.29,58,0.77,Poor
6.11,87.76,75,3.58,Good
3.06,81.32,69,0.5,Average
5.01,95.9,80,4.21,Good
4.89,94.87,79,3.27,Good
1.16,58.05,54,1.94,Poor
2.56,58.8,41,1.59,Poor
1.5,70.97,56,0.22,Poor
3.73,86.45,82,2.31,Average
5.55,90.48,89,3.66,Good
5.48,89.66,83,3.86,Good
3.44,80.36,84,3.21,Average
5.01,89.19,77,4.4,Good
4.56,82.82,70,2.84,Average
2.13,73.64,57,4.16,Average
3.21,85.18,46,3.09,Average
2.91,71.07,48,1.07,Average
5.88,91.18,73,4.57,Good
2.79,75.61,83,3.29,Average
4.33,90.51,66,5.7,Good
2.53,50.66,43,0.74,Poor
3.59,84.21,48,1.36,Average
5.71,91.62,71,4.15,Good
0.63,48.06,37,0.84,Poor
3.92,92.51,91,3.05,Good
5.51,83.94,87,4.8,Good
3.12,89.04,61,1.95,Average
1.93,84.79,75,3.6,Average
4.67,88.45,82,4.34,Good
3.69,90.99,76,3.81,Good
2.26,48.25,30,0.83,Poor
5.26,85.17,90,3.6,Good
0.82,70.25,63,0.89,Poor
2.36,59.18,60,0.64,Poor
4.97,86.63,72,3.38,Good
3.95,79.77,54,3.49,Average
3.59,79.84,76,2.54,Average
3.46,88.91,72,3.35,Good
2.89,89.16,79,2.78,Good
4.47,73.65,62,1.78,Average
2.3,58.83,43,0.32,Poor
3.73,77.41,65,2.3,Average
4.85,91.08,63,4.97,Good
0.8,82.44,44,2.49,Poor
1.8,69.38,42,1.13,Poor
6.62,85.76,72,4.43,Good
2.79,66.59,60,2.39,Average
2.79,91.61,54,1.93,Average
5.32,94.84,78,4.09,Good
1.64,57.71,22,0.85,Poor
4.33,89.11,76,3.38,Good
6.08,90.73,72,5.09,Good
2.16,51.13,44,1.53,Poor
0.71,83.82,19,0.0,Poor
5.91,88.15,96,2.58,Good
1.22,67.38,31,1.38,Poor
1.53,60.65,45,0.0,Poor
6.27,91.18,91,3.87,Good
5.68,98.36,94,4.98,Good
4.04,95.51,70,3.64,Average
5.89,88.1,79,2.01,Good
5.73,87.28,76,4.18,Good
2.23,66.4,69,2.08,Average
4.52,85.85,93,3.34,Good
2.55,66.97,55,1.25,Poor
3.36,89.7,81,4.12,Good
4.48,89.64,72,3.63,Good
2.1,69.96,70,2.24,Average
1.54,60.83,25,0.4,Poor
0.82,70.09,43,1.49,Poor
1.72,48.05,44,2.86,Poor
3.22,89.54,73,2.27,Average
0.79,60.98,43,1.11,Poor
0.32,54.43,49,0.0,Poor
6.1,90.26,72,4.59,Good
1.51,74.51,59,3.2,Average
3.35,89.7,69,2.75,Average
3.47,85.28,72,2.72,Average
4.62,92.34,77,5.23,Good
4.85,91.71,80,6.51,Good
2.75,77.75,67,1.56,Average
4.41,86.61,59,2.73,Average
4.13,79.74,67,3.25,Average
1.39,64.21,54,0.54,Poor
2.22,79.62,43,2.16,Average
3.83,89.89,81,3.89,Good
1.69,55.44,46,1.24,Poor
4.45,99.77,79,4.74,Good
1.63,59.01,63,1.89,Poor
3.66,83.7,67,2.65,Average
4.99,93.45,99,4.34,Good
1.54,59.5,42,0.22,Poor
2.75,67.58,33,2.31,Poor
5.49,84.55,69,4.42,Good
3.98,85.54,52,3.42,Average
3.08,87.02,63,1.7,Average
2.59,61.18,67,1.44,Poor
4.54,82.27,85,5.48,Good
2.57,96.49,59,1.71,Average
0.92,54.85,74,0.99,Poor
2.16,69.13,52,1.6,Poor
3.08,85.86,18,0.11,Poor
1.89,82.55,64,2.38,Average
2.73,61.43,48,0.36,Poor
2.44,89.05,48,3.28,Average
1.91,88.86,70,0.5,Average
4.47,86.52,76,3.32,Good
2.21,78.03,37,0.04,Poor
1.41,49.54,63,2.57,Poor
5.84,90.76,80,3.64,Good
0.59,57.37,45,1.01,Poor
5.33,86.1,88,3.82,Good
0.83,77.95,37,1.13,Poor
1.87,67.19,49,1.79,Poor
3.91,84.8,72,2.3,Average
2.74,76.31,53,1.8,Average
1.71,57.82,60,0.0,Poor
1.55,73.36,35,0.43,Poor
2.14,54.64,54,1.25,Poor
2.32,65.65,22,2.18,Poor
3.52,87.68,49,2.86,Average
5.45,86.86,66,3.02,Good
2.32,74.36,44,1.62,Poor
4.26,83.12,54,2.4,Average
2.02,68.65,28,1.25,Poor
3.21,70.98,71,3.64,Average
6.53,90.13,72,4.0,Good
4.18,87.1,62,3.15,Average
1.86,90.0,35,1.18,Poor
1.13,59.35,59,1.79,Poor
4.49,88.29,79,4.66,Good
1.56,71.94,41,0.32,Poor
2.65,68.62,61,2.27,Average
4.95,79.76,92,4.83,Good
5.55,95.39,92,3.82,Good
4.13,94.22,90,5.14,Good
3.39,84.53,62,1.48,Average
1.75,73.8,36,1.21,Poor
3.21,76.14,56,2.85,Average
5.23,83.57,62,1.93,Good
5.02,90.28,72,6.33,Good
7.78,84.42,72,4.57,Good
5.1,86.96,80,3.57,Good
6.16,92.43,65,4.46,Good
2.3,81.14,66,2.2,Average
2.69,70.24,78,2.3,Average
5.83,94.05,89,3.85,Good
1.46,62.81,59,1.33,Poor
0.39,55.66,52,0.82,Poor
3.84,93.93,64,1.91,Good
4.42,74.93,54,1.34,Average
1.72,76.61,23,0.91,Poor
3.45,91.22,88,4.05,Good
2.66,76.34,69,2.65,Average
5.25,96.38,87,4.91,Good
1.34,78.93,63,1.99,Average
6.26,86.95,71,4.96,Good
1.46,59.95,44,0.0,Poor
5.29,88.06,90,4.25,Good
5.08,77.03,77,4.96,Good
2.65,75.84,62,2.09,Average
1.4,71.44,46,0.61,Poor
4.72,89.53,75,4.44,Good
1.9,69.28,54,0.0,Poor
3.68,92.9,77,4.22,Good
1.89,66.26,42,1.47,Poor
4.04,91.43,77,3.31,Good
2.25,82.43,77,0.5,Average
2.34,78.48,68,1.09,Poor
3.46,83.34,73,2.53,Average
1.91,68.36,48,0.91,Poor
3.38,86.88,78,3.65,Good
3.61,76.87,63,1.55,Average
3.36,80.27,72,3.02,Average
3.9,94.22,78,3.74,Good
4.47,89.63,73,4.29,Good
1.23,71.28,26,1.18,Poor
2.43,69.04,41,1.21,Poor
2.59,83.72,46,2.57,Average
2.55,65.76,58,0.76,Poor
1.49,61.19,41,0.02,Poor
3.06,64.29,41,1.03,Average
2.37,64.81,46,1.35,Poor
2.68,83.1,56,2.4,Average
1.61,71.18,45,0.31,Poor
2.3,69.71,16,1.25,Poor
5.78,93.83,75,4.8,Good
1.55,75.51,53,2.71,Average
2.43,70.97,40,1.92,Poor
1.06,90.0,40,2.24,Poor
2.48,59.99,65,1.27,Poor
4.55,92.43,75,3.39,Good
5.26,97.12,93,2.61,Good
2.89,61.35,61,4.59,Average
1.53,49.15,61,0.78,Poor
1.77,60.91,31,0.67,Poor
5.14,91.7,75,5.44,Good
5.5,93.05,75,3.03,Good
5.64,77.26,75,3.1,Average
2.28,61.44,27,1.24,Poor
1.32,69.4,54,0.0,Poor
3.97,89.62,92,4.49,Good
